#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
304777558,-22,2,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304818331,-22,3,1008,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304858738,-24,3,1008,-297,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304899549,-24,3,1008,-280,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304940413,-24,3,1008,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304980782,-22,3,1008,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305021646,-22,2,1008,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305061965,-23,2,1008,-262,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305102778,-24,3,1008,-315,-735,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305143186,-24,3,1008,-297,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305183997,-23,2,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305224405,-22,2,1009,-297,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305265172,-22,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305305624,-23,3,1008,-315,-735,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305346388,-24,3,1008,-315,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305386876,-24,3,1008,-297,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305427639,-23,3,1008,-280,-752,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305468508,-23,2,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305508877,-22,3,1009,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305549743,-23,3,1008,-297,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305590113,-24,3,1009,-315,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305630877,-24,3,1009,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305671283,-22,3,1009,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305712098,-22,2,1009,-297,-770,-140,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305752505,-23,3,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305793322,-23,3,1009,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305833728,-23,3,1009,-297,-770,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305874493,-23,3,1009,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305914949,-23,2,1009,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
305955715,-22,2,1008,-280,-735,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
305996171,-23,3,1009,-280,-717,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306036936,-24,3,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306077702,-24,3,1008,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306118129,-23,2,1009,-297,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306158896,-22,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306199350,-22,2,1008,-315,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306240117,-23,3,1009,-315,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306280522,-23,4,1008,-315,-735,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306321336,-23,4,1008,-297,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306362202,-23,3,1008,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306402571,-22,2,1008,-315,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306443439,-23,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
